,ANAT,DIAG
2595339,2777,0001980
2595342,7100,0002389
2595344,346,0000955
2595347,150,0002040
2595351,295,0001893
2595357,477,0002410
2595359,186,0001072
2595360,1535,0000992
2595361,1840,0000949
2595363,084,0000178
2595365,3459,0002606
2595366,440,0002066
2595368,1649,0001533
2595369,1535,0002368
2595370,365,0000941
2595371,4461,0001530
2595375,340,0002673
2595376,365,0001771
2595377,340,0002944
2595378,7100,0001017
2595381,346,0002519
2595384,7159,0001463
2595385,52100,0001831
2595386,7159,0001469
2595389,346,0001771
2595390,2189,0001300
2595392,0309,0001463
2595395,3320,0001890
2595396,477,0001724
2595397,2859,0001744
2595398,5234,0001597
2595400,1490,0001736
2595401,2777,0001013
2595404,1874,0002097
2595405,340,0001905
2595406,2564,0001235
2595407,3320,0001908
2595408,185,0002371
2595409,3320,0002439
2595410,29680,0001088
2595415,1619,0003126
2595416,346,0001643
2595417,5569,0001365
2595419,1874,0002356
2595425,2396,0001650
2595426,1535,0001361
2595427,1840,0002382
2595428,5790,0002107
2595430,3310,0002148
2595435,7100,0002521
2595438,295,0002148
2595440,7159,0000982
2595441,3320,0002285
2595443,7159,0002516
2595444,1922,0002362
2595445,1909,0001724
2595446,7140,0001827
2595448,084,0001986
2595449,3459,0001723
2595450,0309,0000026
2595451,7140,0001818
2595452,1429,0001650
2595454,3320,0001460
2595455,1640,0002046
2595456,6960,0001488
2595457,7159,0000978
2595459,1361,0002060
2595460,2990,0000970
2595466,440,0001620
2595467,1519,0002017
2595468,440,0001986
2595470,2189,0003216
2595471,340,0001021
2595473,2396,0001891
2595474,5859,0002386
2595475,303,0002148
2595477,186,0000991
2595478,387,0001647
2595479,2449,0001437
2595480,99791,0001759
2595487,7159,0001365
2595489,410,0002082
2595491,3470,0000011
2595493,477,0003126
2595494,99791,0002494
2595498,1840,0000996
2595499,2859,0001037
2595500,188,0001088
2595506,1874,0000029
2595507,7200,0001488
2595513,157,0000211
2595514,6960,0002387
2595517,188,0001300
2595520,410,0002494
2595521,157,0001640
2595522,440,0001637
2595523,1519,0002466
2595524,295,0002368
2595527,2859,0001980
2595529,36250,0001796
2595530,1940,0001348
2595531,1909,0001679
2595532,5790,0002414
2595535,2396,0001846
2595539,1830,0002371
2595542,1361,0000970
2595545,0309,0001089
2595546,36250,0000482
2595549,1490,0001532
2595550,99791,0001649
2595552,5920,0001224
2595553,5716,0000483
2595557,179,0000992
2595558,2777,0001637
2595560,27800,0002385
2595561,52100,0002397
2595565,1429,0000974
2595567,3310,0001890
2595568,440,0001070
2595569,150,0003126
2595572,2396,0000988
2595573,1619,0002046
2595575,1490,0000029
2595578,3320,0000033
2595579,7100,0001090
2595580,2396,0001896
2595582,2859,0002385
2595583,7100,0001103
2595584,7140,0001465
2595586,5859,0001007
2595587,5859,0001404
2595588,1429,0001456
2595593,1892,0000057
2595595,3470,0000955
2595597,7140,0001485
2595599,340,0001645
2595601,295,0001705
2595603,185,0001000
2595604,3459,0001759
2595606,295,0001771
2595608,1844,0000997
2595609,1490,0000033
2595610,346,0001989
2595611,5859,0001148
2595613,365,0001697
2595614,1909,0001827
2595617,2396,0001677
2595621,1640,0000977
2595622,5770,0001007
