,DRUG,DIAG
1518267,R05C,2770
1518269,L04A,7200
1518270,L04A,27950
1518274,L04A,6960
1518275,L04A,68601
1518276,L04A,7140
1518277,L04A,69515
1518282,L02A,6179
1518284,L02A,338
1518286,L02A,2189
1518291,B03X,2859
1518294,L02A,6179
1518295,B01A,428
1518297,H05B,27542
1518298,H05B,73300
1518302,L03A,28800
1518314,J06B,2041
1518316,J06B,28731
1518317,J06B,35781
1518318,J06B,27906
1518320,J06B,4461
1518321,J06B,27912
1518322,A10A,250
1518326,H01B,4590
1518328,H01B,78843
1518329,H01B,7835
1518330,H01B,78842
1518331,H01B,3076
1518332,B02B,4590
1518333,L03A,2875
1518335,H04A,2512
1518341,A10A,250
1518342,A10A,2501
1518346,A10A,250
1518349,M09A,7286
1518350,M09A,60785
1518352,L04A,5551
1518353,L04A,6960
1518354,L04A,68601
1518356,H01A,7994
1518357,H01A,78341
1518362,L01F,2050
1518377,L04A,7200
1518378,L04A,5551
1518380,L04A,6960
1518381,L04A,7140
1518382,L04A,5569
1518391,L01F,2041
1518392,L01F,4464
1518394,L01F,2000
1518395,L01F,6944
1518398,J01X,7907
1518413,L04A,2830
1518414,L04A,2041
1518415,L04A,27950
1518418,V09I,185
1518423,L04A,27950
1518424,L04A,28731
1518425,L04A,5951
1518428,L04A,581
1518429,L04A,6953
1518436,L04A,23875
1518438,L03A,28800
1518446,L03A,2024
1518447,L03A,1769
1518449,H01B,666
1518453,A11H,2810
1518454,B03B,2810
1518467,D05A,27541
1518470,S01X,2660
1518471,S01X,346
1518473,A11D,2650
1518479,V04C,74251
1518480,D10A,2649
1518482,A11H,2661
1518485,C10A,4140
1518495,C10A,435
1518497,N06A,30751
1518499,N06A,3003
1518500,C09C,2504
1518501,C09C,99791
1518503,C09C,428
1518504,C09A,2504
1518505,C09A,428
1518506,C09A,42820
1518507,C09A,99791
1518510,R03B,477
1518511,R03B,4939
1518512,M03B,71940
1518514,M03B,3456
1518515,N06B,31401
1518516,N06B,27800
1518518,N06B,3470
1518519,N06B,3382
1518521,N07B,52100
1518524,N05B,2910
1518525,N05B,79921
1518529,N05B,2931
1518530,N05B,78052
1518531,N05B,72885
1518533,N05B,3452
1518534,C07A,42731
1518537,L01X,2004
1518538,L01X,2030
1518542,A08A,27800
1518543,N02A,3381
1518544,N02A,30275
1518545,C07A,99791
1518546,C07A,36504
1518548,J02A,1129
1518549,J02A,114
1518550,J02A,110
1518552,J02A,3210
1518553,J02A,1121
1518555,J05A,487
1518559,S01A,0990
1518564,S01A,5363
1518565,S01A,0992
1518566,S01A,48284
1518567,S01A,0270
1518568,S01A,0991
1518570,S01A,09840
1518571,S01A,0330
1518576,S01A,0979
1518577,S01A,390
1518579,V03A,2810
1518580,V03A,34982
1518583,N06B,7840
1518584,N06B,346
1518585,N06B,338
1518588,N06B,30781
1518591,P01B,084
1518592,P01B,1309
1518594,C02A,99791
1518595,C02A,2989
1518596,S01A,3829
1518600,S01A,0990
1518602,S01A,6149
1518603,S01A,7841
1518605,S01A,0092
1518608,G04B,59651
1518610,C01C,4580
1518612,A02B,53081
1518614,A02B,7871
1518616,C03C,7823
1518617,C03C,99791
1518618,N06A,3071
1518619,N06A,30751
1518621,N06A,2506
1518623,N06A,3003
1518625,N06A,30981
1518626,N06A,30275
1518629,N02C,346
1518630,N02C,3460
1518631,J01M,490
1518634,J01M,020
1518638,J05A,042
1518640,D07A,7099
1518641,J05A,042
1518647,N02B,2506
1518650,N02B,7803
1518652,N05C,78052
1518653,C03A,7823
1518654,C03A,99791
1518655,J04A,010
1518656,C01C,428
1518658,J05A,042
1518660,G01A,1110
1518661,G01A,1104
1518662,D07A,7099
1518664,L01B,2041
1518666,L01B,2024
1518667,L01B,2000
1518669,A07E,5551
1518671,A07E,5569
1518674,N05A,2989
1518675,N05A,295
1518676,N05A,29680
1518679,J04B,6940
1518680,J04B,0309
1518681,J04B,6944
1518683,J04B,28731
1518684,G01A,1121
1518685,N03A,7803
1518686,S01B,37213
1518687,S01B,37900
1518689,J01A,6953
1518690,J01A,0399
1518691,J01A,0880
1518692,J01A,023
1518693,J01A,0990
1518694,J01A,0010
1518695,J01A,0052
1518696,J01A,098
1518697,J01A,0992
1518698,J01A,04149
1518701,J01A,0270
1518702,J01A,0991
1518703,J01A,101
1518704,J01A,020
1518705,J01A,084
1518707,J01A,073
1518708,J01A,0830
1518709,J01A,087
1518713,J01A,0919
1518714,J01A,0049
1518715,J01A,076
1518716,J01A,0219
1518717,J01A,0811
1518719,J01A,5990
1518720,J01A,1029
1518725,D01A,1104
1518726,D01A,1121
1518728,D06B,1121
1518734,L01A,2021
1518736,S01A,3829
1518737,C07A,413
1518738,C07A,42731
1518739,C07A,99791
1518740,C07A,346
1518744,C07A,428
1518745,N04B,3320
1518746,C08C,99791
1518747,N03A,303
1518748,N03A,7803
1518750,N03A,346
1518756,L01X,208
1518770,D04A,477
1518772,D04A,7089
1518773,D04A,460
1518777,N06A,346
1518782,G03C,73300
1518783,G03C,25631
1518785,S01E,36504
1518788,N06B,31401
1518791,L01D,2010
1518792,L01D,51181
1518793,L01D,2000
1518794,L01D,1830
1518795,L01D,1874
1518796,L01D,51281
1518797,L01D,186
1518798,L01D,1844
1518800,L01A,2041
1518801,L01A,2010
1518802,L01A,5813
1518803,L01A,2000
1518804,L01A,2733
1518805,L01A,2020
1518807,N02A,3382
1518808,N01B,3381
1518809,N01B,27400
