,PHARMACLASS,DRUG
3002579,N0000185503,J05A
3002580,N0000191267,N03A
3002581,N0000181819,R05D
3002582,N0000175450,S03B
3002583,N0000007706,S01E
3002584,N0000175764,N02C
3002585,N0000171131,C05A
3002586,N0000185506,L01E
3002587,N0000007853,D06A
3002588,N0000175450,A07E
3002589,N0000175732,M03A
3002590,N0000007770,L01B
3002591,N0000175764,N02C
3002592,N0000008638,H01C
3002593,N0000185506,A04A
3002594,N0000175073,L01X
3002595,N0000009909,C05A
3002596,N0000182139,L01E
3002597,N0000000236,L01A
3002598,N0000191277,B02B
3002599,N0000007542,N05C
3002600,N0000175632,B02A
3002601,N0000011311,J01D
3002602,N0000175732,M03A
3002603,N0000000190,R06A
3002604,N0000185504,R03D
3002605,N0000008832,B01A
3002606,N0000185607,J05A
3002607,N0000008486,N03A
3002608,N0000175450,D07A
3002609,N0000190113,B02B
3002610,N0000000207,N05B
3002611,N0000000109,N06A
3002612,N0000008486,N03A
3002613,N0000185506,N03A
3002614,N0000175433,D06A
3002615,N0000180999,C09C
3002616,N0000182141,L04A
3002617,N0000008241,G03B
3002618,N0000000196,N05C
3002619,N0000182138,V03A
3002620,N0000000102,N06A
3002621,N0000011161,S01A
3002622,N0000000209,R01B
3002623,N0000008217,G01A
3002624,N0000187061,C01E
3002625,N0000175730,M03B
3002626,N0000175702,N07B
3002627,N0000007618,N04B
3002628,N0000191423,J05A
3002629,N0000008553,C10A
3002630,N0000000069,C08C
3002631,N0000007681,N01B
3002632,N0000190118,J05A
3002633,N0000182138,L01E
3002634,N0000009267,D06B
3002635,N0000191264,J05A
3002636,N0000175460,J05A
3002637,N0000008859,C03D
3002638,N0000010258,V08A
3002639,N0000006337,A11C
3002640,N0000175975,N01A
3002642,N0000187058,A10B
3002643,N0000000125,G04B
3002644,N0000010258,V08A
3002645,N0000008217,J02A
3002646,N0000185506,L01X
3002647,N0000175721,M01A
3002648,N0000008054,A10B
3002649,N0000007542,N03A
3002650,N0000175651,A08A
3002651,N0000007544,R06A
3002652,N0000175085,D01A
3002653,N0000000146,G03B
3002654,N0000175817,A04A
3002655,N0000007889,A07A
3002656,N0000011281,J01C
3002657,N0000007556,C08C
3002658,N0000000236,L01X
3002659,N0000175788,C01E
3002660,N0000175512,D06B
3002661,N0000000122,R06A
3002662,N0000175862,V08C
3002663,N0000175917,H03B
3002664,N0000175684,N02A
3002665,N0000167094,N07X
3002666,N0000178477,C09C
3002667,N0000000070,C09C
3002668,N0000000233,L01B
3002669,N0000008832,B01A
3002670,N0000009909,R07A
3002671,N0000175361,C02K
3002672,N0000175912,A10B
3002673,N0000007542,N05B
3002674,N0000008859,C03D
3002675,N0000175084,H01C
3002676,N0000000166,A10B
3002677,N0000008217,J02A
3002678,N0000175359,C03A
3002679,N0000000233,L01B
3002680,N0000175547,R05C
3002681,N0000011161,J01D
3002682,N0000187061,J05A
3002683,N0000000190,R06A
3002684,N0000011161,J01D
3002685,N0000175469,J05A
3002686,N0000008663,L04A
3002687,N0000008486,N03A
3002688,N0000175359,B05B
3002689,N0000175808,A16A
3002690,N0000008048,S01E
3002691,N0000175915,H01B
3002692,N0000000207,N04A
3002693,N0000185607,L02B
3002694,N0000182137,C01E
3002695,N0000175982,B02B
3002696,N0000175442,D10A
3002697,N0000175459,J05A
3002698,N0000175359,C03A
3002699,N0000009371,A06A
3002701,N0000008486,N03A
3002702,N0000182137,G04B
3002703,N0000175830,G03A
3002704,N0000190107,L01E
3002705,N0000190114,C01E
3002706,N0000007961,B01A
3002707,N0000007606,J01M
3002708,N0000182141,C10A
3002709,N0000011280,B01A
3002710,N0000008048,S01A
3002711,N0000010288,B05B
3002712,N0000175459,J05A
3002713,N0000175372,A08A
3002714,N0000166469,C03A
3002715,N0000175450,A01A
3002716,N0000175976,N01B
3002717,N0000170118,A10B
3002718,N0000000144,V03A
3002719,N0000007911,J04A
3002720,N0000007544,N05A
3002721,N0000000125,S01F
3002722,N0000008217,G01A
3002723,N0000175729,N06B
3002724,N0000000174,N02A
3002726,N0000007683,A02B
3002727,N0000000176,L01D
3002728,N0000010258,V08A
3002729,N0000005760,A07E
3002730,N0000008048,S01E
3002731,N0000009923,C07A
3002732,N0000175917,H03B
3002733,N0000000069,C08D
3002734,N0000175450,H02A
3002735,N0000190114,J05A
3002737,N0000009801,L01X
3002738,N0000175359,C03D
3002739,N0000006688,A16A
3002740,N0000000083,R03D
3002741,N0000175763,N02C
3002742,N0000185504,L01E
3002743,N0000175862,V08C
3002744,N0000006269,D10A
3002745,N0000175763,N02C
3002746,N0000008010,A04A
3002747,N0000178478,C01C
3002748,N0000175975,N01A
3002749,N0000007780,L01C
3002750,N0000175372,N06B
3002751,N0000175763,N02C
3002752,N0000010262,A04A
3002753,N0000175450,A07E
3002755,N0000178324,L03A
3002756,N0000184143,A16A
3002758,N0000175076,L01E
3002759,N0000175359,C03A
3002761,N0000009176,D06B
3002762,N0000008832,B01A
3002763,N0000185607,N03A
3002764,N0000187062,L01E
3002765,N0000007606,J01M
3002766,N0000020015,N06D
3002767,N0000009269,D06B
3002769,N0000005760,A07E
3002770,N0000000239,M04A
3002771,N0000182140,A02B
3002772,N0000175686,N02A
3002773,N0000011272,A10B
3002774,N0000000102,N06A
3002775,N0000000246,J05A
3002776,N0000185007,G04B
3002777,N0000007621,N02C
3002778,N0000166469,C03A
3002779,N0000009801,S01L
3002780,N0000007663,P01A
3002781,N0000007707,M05B
3002782,N0000009948,J05A
3002783,N0000006999,L01X
3002784,N0000000243,L02B
3002785,N0000000125,G04B
3002787,N0000020060,J05A
3002788,N0000185503,L01E
3002789,N0000009918,N05C
3002790,N0000020000,L01E
3002791,N0000007544,N05A
3002792,N0000175970,B02B
3002793,N0000000125,G04B
3002794,N0000007911,J04A
3002795,N0000011402,G03C
3002796,N0000007544,N05A
3002797,N0000010217,D05B
3002798,N0000000196,N05C
3002799,N0000009982,D10A
3002800,N0000011301,G03A
3002801,N0000175628,R01A
3002802,N0000190482,B01A
3002803,N0000000176,L01D
3002804,N0000009922,R03A
3002805,N0000010288,A06A
3002806,N0000182141,J05A
3002807,N0000175684,N07B
3002808,N0000000154,A06A
3002809,N0000175076,L01E
3002810,N0000175729,N06B
3002811,N0000007530,L01D
3002812,N0000175862,V08C
3002813,N0000009924,C07A
3002814,N0000175085,L01D
3002815,N0000175968,B02B
3002816,N0000175075,L01X
3002817,N0000175721,M01A
3002818,N0000000083,R03D
3002819,N0000008486,N03A
3002820,N0000008853,D01A
3002821,N0000175684,N02A
3002822,N0000185504,J01E
3002823,N0000185503,C01B
3002824,N0000007911,J04A
3002825,N0000000109,N06A
3002826,N0000175359,C03B
