,SYMP,DRUG
56,5640,L01B
57,78605,D06B
58,7882,N05A
59,78605,A07E
60,7840,C07A
61,72885,C02C
62,7821,D10A
63,78605,N07B
64,4279,L04A
65,7823,N01B
66,78605,N06A
67,5640,M02A
68,5640,L02B
69,2699,A10B
70,4589,J01D
71,78605,N05C
72,5640,M05B
73,2875,J01A
74,7821,R03A
75,78605,N05A
76,4589,J01M
77,7865,N05A
78,7231,A10B
79,5640,N03A
80,7907,J01M
81,7865,J05A
82,7840,J05A
83,78791,C03A
84,7855,C01E
85,5997,A10B
86,78052,N06B
87,4279,G01A
88,6959,N06A
89,5640,M01A
90,7802,C09A
91,7823,L04A
92,78791,B01A
93,72885,M05B
94,5640,L04A
96,78052,J05A
97,7295,N07B
98,2699,A10B
99,5640,N01B
100,7865,N05C
101,7890,S01E
102,72885,N07B
103,2875,L01B
104,7855,C07A
105,7169,S03B
106,7865,M05B
107,7821,A07E
109,5640,J05A
110,5860,C09C
111,7865,J05A
112,78791,G02C
113,7802,M01A
114,78605,V03A
115,7821,G04C
116,7882,J01D
117,7231,J01D
118,4589,M03B
119,27651,N02C
120,7840,N05A
121,4589,S01J
122,7840,G04B
123,2875,N06D
124,78052,J01M
125,5860,C03D
126,78605,S01E
127,2875,N03A
128,3752,N05A
129,78052,N06A
130,7840,D06B
131,7821,G03C
132,7855,N05C
133,7882,N05A
134,5997,J01M
135,2875,N02C
136,5849,J05A
137,7865,N03A
138,7823,C05A
139,7882,N02A
140,5640,L01X
141,7840,L04A
142,5997,L01A
143,7840,J01E
144,7169,N03A
145,7855,N05C
146,6959,N05A
147,7840,C10A
148,5640,C01B
149,78605,N03A
150,5849,C09A
151,3709,J02A
152,7802,J02A
153,7840,D10A
154,7872,L01D
155,7840,N02A
157,5860,S01A
158,7823,B01A
159,7821,R03C
160,7907,L01B
161,7840,J01D
162,78651,R01A
163,7865,L01D
164,2875,N03A
165,5780,N02A
166,7840,J01D
168,5789,B01A
169,78605,M02A
170,78605,S01E
171,2875,J04A
172,7840,P01A
173,7890,D06B
174,78052,N05A
175,7821,J04A
176,7823,M03B
177,7802,N06A
178,5640,P01A
179,2875,J05A
180,78791,B05C
181,7882,N06D
182,3709,N06A
183,4589,N02A
184,3899,M02A
185,7840,L01D
186,5860,M05B
187,78052,R05D
188,78791,L01C
189,7855,N02B
190,7840,J01F
191,5860,L01X
192,7231,C03D
193,78605,J01M
194,9916,N05A
195,7823,L04A
196,27651,N02A
197,5640,A10B
198,7840,N03A
199,7882,N03A
200,78791,C01A
201,72885,G03A
202,7855,C02A
203,7823,C08C
204,3689,C08C
205,7890,N05A
206,5849,L04A
207,72885,N06A
208,7840,J01D
209,27651,N03A
210,2875,M01A
211,7865,D01B
212,78052,M01A
213,7231,C09A
214,7890,J05A
215,3689,L01B
216,7821,B01A
217,7890,P01B
218,7840,A03A
219,7840,N03A
220,78791,C02C
221,7825,N05A
222,7821,N06A
223,7890,C10A
224,3689,C08C
225,78052,L01B
226,3689,S01L
227,7872,N04B
228,7865,G03D
229,7882,N02A
230,2875,A05A
231,7840,A16A
232,5640,C03D
233,7855,R02A
234,5997,M01A
235,2875,L04A
236,5997,L01E
237,5860,B02A
238,7890,N06A
239,7890,P02C
240,7872,N03A
241,7169,N05A
242,4589,C07A
243,78791,J01D
244,7802,L01B
245,7840,N02A
