,DIAG,SYMP
2591983,7140,338
2591988,1521,5780
2591993,1619,78605
2591996,1519,7871
2591997,340,3334
2591998,1490,3882
2592001,1429,78194
2592004,1361,59654
2592009,1649,78630
2592011,30723,7961
2592014,410,32723
2592023,1490,3890
2592034,70401,6980
2592043,309,78060
2592045,477,7861
2592049,346,7801
2592055,3470,3470
2592062,5859,413
2592064,7140,78060
2592069,1519,7868
2592071,157,79902
2592072,5790,28731
2592073,1649,3332
2592077,5770,7817
2592078,5859,34882
2592081,99791,413
2592091,1361,36281
2592092,74910,7580
2592093,188,78831
2592095,27400,338
2592098,188,34400
2592102,186,5780
2592108,3310,7580
2592110,3459,37775
2592113,2189,56400
2592115,3470,78057
2592116,150,78262
2592117,1560,7897
2592120,33520,47830
2592122,7100,59654
2592126,2189,7897
2592129,99791,27802
2592137,7140,34400
2592139,440,27802
2592150,387,38801
2592151,309,78194
2592158,461,7801
2592160,2396,7868
2592161,461,4672
2592163,1830,7823
2592171,1649,78605
2592174,1940,78060
2592175,3320,78843
2592177,3310,78093
2592182,365,37942
2592183,179,79902
2592189,3320,2931
2592192,1909,36800
2592195,2396,3899
2592201,3459,78001
2592204,340,36846
2592205,150,7862
2592206,179,78830
2592207,2396,392
2592209,340,78451
2592211,7159,7243
2592212,27800,7836
2592214,27800,27800
2592217,440,79902
2592225,5770,7823
2592226,1640,78630
2592234,461,78451
2592235,3459,3332
2592241,36250,37923
2592246,27800,27803
2592250,179,59654
2592251,5770,78900
2592256,3470,27803
2592257,33394,78052
2592260,150,78650
2592261,1361,78630
2592267,2777,27802
2592268,2859,78650
2592271,7159,7242
2592272,7140,7823
2592275,2990,31323
2592278,2396,7843
2592279,1490,3891
2592283,1940,78900
2592294,2189,5780
2592297,303,7836
2592300,303,78052
2592305,70901,28731
2592307,477,7862
2592322,7140,7910
2592328,7200,338
2592333,1619,78630
2592337,74910,78341
2592344,5859,78842
2592347,1552,78262
2592352,2859,78791
2592353,31401,32713
2592355,3459,72885
2592358,157,78900
2592366,4461,7823
2592380,1940,7802
2592384,1909,37940
2592385,7100,34400
2592390,5859,72982
2592400,303,78001
2592406,36250,3682
2592407,2396,37940
2592410,3320,32713
2592412,2189,78060
2592416,1490,37855
2592421,5920,34400
2592422,36250,36281
2592424,7140,3536
2592431,150,78605
2592438,2396,3429
2592439,1649,5780
2592443,1429,3449
2592446,188,59654
2592447,179,643
2592451,185,78843
2592457,2990,7843
2592461,27400,71940
2592480,3320,392
2592482,3470,32751
2592485,303,7813
2592486,185,56400
2592488,1490,3682
2592492,340,7961
