,PHARMACLASS,DRUG
3002579,N0000185503,J05AP
3002580,N0000191267,N03AB
3002581,N0000181819,R05DA
3002582,N0000175450,S03BA
3002583,N0000007706,S01EE
3002584,N0000175764,N02CC
3002585,N0000171131,C05AD
3002586,N0000185506,L01EC
3002587,N0000007853,D06AX
3002588,N0000175450,A07EA
3002589,N0000175732,M03AC
3002590,N0000007770,L01BC
3002591,N0000175764,N02CC
3002592,N0000008638,H01CC
3002593,N0000185506,A04AD
3002594,N0000175073,L01XA
3002595,N0000009909,C05AE
3002596,N0000182139,L01ED
3002597,N0000000236,L01AC
3002598,N0000191277,B02BX
3002599,N0000007542,N05CD
3002600,N0000175632,B02AA
3002601,N0000011311,J01DF
3002602,N0000175732,M03AC
3002603,N0000000190,R06AX
3002604,N0000185504,R03DC
3002605,N0000008832,B01AC
3002606,N0000185607,J05AE
3002607,N0000008486,N03AX
3002608,N0000175450,D07AC
3002609,N0000190113,B02BX
3002610,N0000000207,N05BB
3002611,N0000000109,N06AX
3002612,N0000008486,N03AD
3002613,N0000185506,N03AX
3002614,N0000175433,D06AX
3002615,N0000180999,C09CA
3002616,N0000182141,L04AD
3002617,N0000008241,G03BA
3002618,N0000000196,N05CF
3002619,N0000182138,V03AC
3002620,N0000000102,N06AX
3002621,N0000011161,S01AA
3002622,N0000000209,R01BA
3002623,N0000008217,G01AF
3002624,N0000187061,C01EB
3002625,N0000175730,M03BA
3002626,N0000175702,N07BA
3002627,N0000007618,N04BC
3002628,N0000191423,J05AJ
3002629,N0000008553,C10AX
3002630,N0000000069,C08CA
3002631,N0000007681,N01BB
3002632,N0000190118,J05AG
3002633,N0000182138,L01EC
3002634,N0000009267,D06BB
3002635,N0000191264,J05AE
3002636,N0000175460,J05AG
3002637,N0000008859,C03DB
3002638,N0000010258,V08AA
3002639,N0000006337,A11CC
3002640,N0000175975,N01AB
3002642,N0000187058,A10BK
3002643,N0000000125,G04BD
3002644,N0000010258,V08AB
3002645,N0000008217,J02AC
3002646,N0000185506,L01XX
3002647,N0000175721,M01AH
3002648,N0000008054,A10BB
3002649,N0000007542,N03AE
3002650,N0000175651,A08AA
3002651,N0000007544,R06AD
3002652,N0000175085,D01AA
3002653,N0000000146,G03BA
3002654,N0000175817,A04AA
3002655,N0000007889,A07AA
3002656,N0000011281,J01CE
3002657,N0000007556,C08CA
3002658,N0000000236,L01XX
3002659,N0000175788,C01EB
3002660,N0000175512,D06BA
3002661,N0000000122,R06AX
3002662,N0000175862,V08CA
3002663,N0000175917,H03BA
3002664,N0000175684,N02AA
3002665,N0000167094,N07XX
3002666,N0000178477,C09CA
3002667,N0000000070,C09CA
3002668,N0000000233,L01BC
3002669,N0000008832,B01AC
3002670,N0000009909,R07AX
3002671,N0000175361,C02KB
3002672,N0000175912,A10BH
3002673,N0000007542,N05BA
3002674,N0000008859,C03DB
3002675,N0000175084,H01CC
3002676,N0000000166,A10BF
3002677,N0000008217,J02AC
3002678,N0000175359,C03AA
3002679,N0000000233,L01BB
3002680,N0000175547,R05CB
3002681,N0000011161,J01DD
3002682,N0000187061,J05AJ
3002683,N0000000190,R06AX
3002684,N0000011161,J01DE
3002685,N0000175469,J05AD
3002686,N0000008663,L04AX
3002687,N0000008486,N03AC
3002688,N0000175359,B05BC
3002689,N0000175808,A16AX
3002690,N0000008048,S01EC
3002691,N0000175915,H01BA
3002692,N0000000207,N04AC
3002693,N0000185607,L02BB
3002694,N0000182137,C01EB
3002695,N0000175982,B02BA
3002696,N0000175442,D10AF
3002697,N0000175459,J05AP
3002698,N0000175359,C03AA
3002699,N0000009371,A06AG
3002701,N0000008486,N03AX
3002702,N0000182137,G04BD
3002703,N0000175830,G03AD
3002704,N0000190107,L01EC
3002705,N0000190114,C01EB
3002706,N0000007961,B01AB
3002707,N0000007606,J01MA
3002708,N0000182141,C10AX
3002709,N0000011280,B01AC
3002710,N0000008048,S01AB
3002711,N0000010288,B05BC
3002712,N0000175459,J05AB
3002713,N0000175372,A08AA
3002714,N0000166469,C03AA
3002715,N0000175450,A01AC
3002716,N0000175976,N01BB
3002717,N0000170118,A10BG
3002718,N0000000144,V03AC
3002719,N0000007911,J04AB
3002720,N0000007544,N05AB
3002721,N0000000125,S01FA
3002722,N0000008217,G01AF
3002723,N0000175729,N06BA
3002724,N0000000174,N02AX
3002726,N0000007683,A02BX
3002727,N0000000176,L01DB
3002728,N0000010258,V08AB
3002729,N0000005760,A07EC
3002730,N0000008048,S01EC
3002731,N0000009923,C07AG
3002732,N0000175917,H03BB
3002733,N0000000069,C08DB
3002734,N0000175450,H02AB
3002735,N0000190114,J05AP
3002737,N0000009801,L01XD
3002738,N0000175359,C03DB
3002739,N0000006688,A16AA
3002740,N0000000083,R03DC
3002741,N0000175763,N02CC
3002742,N0000185504,L01EX
3002743,N0000175862,V08CA
