,SYMP,DRUG
0,27651,H05BX
1,7863,B01AX
2,78650,N05CD
3,7825,N01AH
4,78900,N04BX
5,78052,J05AP
6,7825,M03CA
7,7840,S01EB
8,78550,C02AC
9,7295,M03CA
10,5780,G02CC
11,7840,M03BA
12,7823,C09AA
13,78550,G04BE
14,56400,M01AE
15,7840,G04CA
17,7840,C05AE
18,78900,N06AX
19,7821,R03AA
20,78791,L01DB
21,7823,M05BA
22,7823,N05AX
23,7840,C05AA
25,7840,L01BC
26,5119,L01DC
27,7812,N03AF
28,78791,M03BX
29,78820,N04BD
30,56400,G03XA
31,9916,N02AA
32,7823,R03CC
33,7840,N06BA
34,6959,S02BA
35,78791,J05AG
36,7872,L02BA
37,7895,N07BB
38,2699,J01AA
39,7802,L01XX
40,7840,L01DB
41,27651,A02BC
42,5789,J02AC
43,78052,N06BA
44,78791,C01CA
45,7840,M01AE
46,7802,N03AB
47,7823,J01CE
48,78791,J01DD
49,7840,M01AC
50,78791,C09CA
51,3689,G03XA
53,9916,M03BX
54,2875,C03AA
55,4279,A02BC
56,56400,L01BB
57,78605,D06BB
58,78820,N05AE
59,78605,A07EA
60,7840,C07AG
61,72885,C02CA
62,7821,D10AF
63,78605,N07BB
64,4279,L04AX
65,7823,N01BB
66,78605,N06AA
67,56400,M02AA
68,56400,L02BA
69,2699,A10BG
70,4589,J01DF
71,78605,N05CD
72,56400,M05BA
73,2875,J01AA
74,7821,R03AC
75,78605,N05AH
76,4589,J01MA
77,78650,N05AH
78,7231,A10BH
79,56400,N03AB
80,7907,J01MA
81,78650,J05AF
82,7840,J05AG
83,78791,C03AA
84,78550,C01EB
85,5997,A10BG
86,78052,N06BA
87,4279,G01AA
88,6959,N06AX
89,56400,M01AB
90,7802,C09AA
91,7823,L04AD
92,78791,B01AB
93,72885,M05BA
94,56400,L04AD
96,78052,J05AF
97,7295,N07BB
98,2699,A10BK
99,56400,N01BB
100,78650,N05CH
101,78900,S01EB
102,72885,N07BB
103,2875,L01BC
104,78550,C07AB
105,71690,S03BA
